Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
MIOSOS-Build,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.9593265056610107
Warm-MIOSOS,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",12.58560299873352
Warm-MIOSOS-Opt,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",11.593585729598999
Warm-MIOSOS-Build,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.9116058349609375
Preprocessing,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.13656878471374512
STLSQ,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",10.911031007766724
SSR,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",344.3527228832245
SR3,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",31.602056741714478
MIOSOS,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",17.29482126235962
MIOSOS-Opt,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",13.057441711425781
MIOSOS-Build,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1.2996153831481934
Warm-MIOSOS,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",14.349637031555176
Warm-MIOSOS-Opt,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",12.946038722991943
Warm-MIOSOS-Build,77.31772444188466,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1.2868926525115967
Preprocessing,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.35541701316833496
STLSQ,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",22.002676010131836
SSR,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",690.9129540920258
SR3,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",51.50709390640259
MIOSOS,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",20.289398193359375
MIOSOS-Opt,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",12.460907220840454
MIOSOS-Build,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.8071279525756836
Warm-MIOSOS,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",14.976465940475464
Warm-MIOSOS-Opt,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",12.053438663482666
Warm-MIOSOS-Build,128.0,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.7283310890197754
