Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
SR3,5,0.02,0.22499999999999998,36,400,10,1.1116847112281625,0.9581715575477482,1.0869720148543127,0.5555555555555556,10.0,4.0,4.0,178.16263055801392
E-STLSQ,5,0.02,0.22499999999999998,36,400,10,1.0270832329266775,0.9650202509003422,1.0,0.16666666666666666,3.0,4.0,11.0,0.6661062240600586
MIOSR,5,0.02,0.24999999999999997,36,400,10,0.15984402906663983,0.16960234011277905,0.25846806907696185,1.0,14.0,0.0,0.0,600.4254088401794
STLSQ,5,0.02,0.24999999999999997,36,400,10,0.9318151589691759,0.8173628242194682,1.0,0.4,8.0,6.0,6.0,1.2593300342559814
SSR,5,0.02,0.24999999999999997,36,400,10,0.7880433850843044,0.7062258651214379,1.0,0.35714285714285715,10.0,14.0,4.0,0.8421249389648438
SR3,5,0.02,0.24999999999999997,36,400,10,1.1011969957203385,0.9500087478670819,1.089507269953373,0.5555555555555556,10.0,4.0,4.0,177.2327115535736
E-STLSQ,5,0.02,0.24999999999999997,36,400,10,0.850265718773191,0.796657066985713,1.0,0.47058823529411764,8.0,3.0,6.0,0.6571612358093262
MIOSR,5,0.02,0.27499999999999997,36,400,10,0.18890593231930924,0.2004601252223461,0.30540532448226154,1.0,14.0,0.0,0.0,600.3648507595062
STLSQ,5,0.02,0.27499999999999997,36,400,10,0.8879562810728006,0.8200699936857873,1.0,0.4444444444444444,8.0,4.0,6.0,1.2607653141021729
SSR,5,0.02,0.27499999999999997,36,400,10,0.7085782533577234,0.6943730733056172,1.0,0.3333333333333333,10.0,16.0,4.0,0.8549094200134277
SR3,5,0.02,0.27499999999999997,36,400,10,1.0369275530973197,0.9429938316283208,1.0783809677758118,0.5,10.0,6.0,4.0,174.53876757621765
E-STLSQ,5,0.02,0.27499999999999997,36,400,10,0.8820784326353794,0.8181219285068314,1.0,0.47058823529411764,8.0,3.0,6.0,0.7074286937713623
MIOSR,5,0.02,0.3,36,400,10,0.5801680282830151,0.6366283649709649,1.0,0.6470588235294118,11.0,3.0,3.0,600.4106576442719
STLSQ,5,0.02,0.3,36,400,10,0.9839514279105458,0.8406775983089619,1.0,0.2962962962962963,8.0,13.0,6.0,1.254962682723999
SSR,5,0.02,0.3,36,400,10,0.9212368595440035,0.7886639444347866,1.0,0.2857142857142857,12.0,28.0,2.0,0.8344838619232178
SR3,5,0.02,0.3,36,400,10,1.0466849756842262,0.9370376794836188,1.0607058507052844,0.47619047619047616,10.0,7.0,4.0,171.38897728919983
E-STLSQ,5,0.02,0.3,36,400,10,0.9206821574376404,0.8349774509396097,1.0,0.4,8.0,6.0,6.0,0.7329607009887695
