Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
Con-SR3,90.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8696878229742889,0.8683971809886699,1.443205271426712,0.9994790779759445,0.06811991429237332,0.020322244479353744,0.020255513857065303,0.02192651052521999,1.0,6.0,0.0,0.0,1.1564823173178714e-17,2.416085958480835,0.008286427728546842,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8696879943374158,0.8683943272393998,1.4432370449836043,0.9994871455952159,0.0876173901895782,0.020450754654234037,0.02039033394732271,0.022028200980040324,1.0,6.0,0.0,0.0,0.0,10.454428672790527,,,6.0,0.0001
SR3,90.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8089520033641527,0.807202687332506,2.2528844244756545,0.9987952033850078,0.11077239064488098,0.031139331951439107,0.030959535887450866,0.03359087684333173,1.0,6.0,0.0,0.0,7.651204261816442e-05,2.277085542678833,0.019306977288832496,3.3333333333333335,,
MIOSR,90.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.808966726317027,0.8072100556828947,2.2528026834188686,0.9988020241734137,0.10762301263125085,0.031234647401129752,0.031180049325894972,0.033787504902494825,1.0,6.0,0.0,0.0,4.2305686767371564e-05,9.660352945327759,,,6.0,0.0001
Con-SR3,90.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8089659331122782,0.8072144085825754,2.252751632572318,0.9988171055325454,0.10288008653769565,0.0310521289851448,0.030937481740136163,0.03298749651680655,1.0,6.0,0.0,0.0,1.3877787807814457e-17,2.413900852203369,0.010985411419875584,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8089661864995934,0.8072094554241728,2.252810349566788,0.9988267659051513,0.13293048983404093,0.031233177067427575,0.031123601069448472,0.03308528159982571,1.0,6.0,0.0,0.0,0.0,10.613524675369263,,,6.0,0.0001
SR3,90.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7442394366409263,0.7421075561463324,3.240207781994796,0.9976514442880333,0.1551601913572758,0.043946954550520084,0.04368224553160565,0.04660379420793581,1.0,6.0,0.0,0.0,6.827384627515014e-05,2.261617660522461,0.022229964825261943,3.3333333333333335,,
MIOSR,90.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7442576090766468,0.7421130528218461,3.2401442828423965,0.9976611908680775,0.15036768813189494,0.044078595255735854,0.04396045594313099,0.04684726124770533,1.0,6.0,0.0,0.0,4.20952451485046e-05,9.223768472671509,,,6.0,0.0001
Con-SR3,90.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7442567599668004,0.7421197945502499,3.240059024191134,0.9976883566415546,0.14404126623461505,0.04383600963427825,0.04367105388155287,0.04606984414209603,1.0,6.0,0.0,0.0,6.938893903907228e-18,2.3763794898986816,0.014563484775012436,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7442571060504521,0.7421121700371439,3.240156151360504,0.9976953606571962,0.18670432510255697,0.04407723484533039,0.043915698216523164,0.04614911103047015,1.0,6.0,0.0,0.0,0.0,9.722007513046265,,,6.0,0.0001
